seq_median,plain,106
seq_median,plain,107
seq_median,plain,109
seq_median,plain,108
seq_median,plain,109
multi_median,plain,49
multi_median,plain,53
multi_median,plain,52
multi_median,plain,53
multi_median,plain,54
pseudo_median,local,233
pseudo_median,local,228
pseudo_median,local,231
pseudo_median,local,345
pseudo_median,local,240
pseudo_fast,local,233
pseudo_fast,local,228
pseudo_fast,local,231
pseudo_fast,local,345
pseudo_fast,local,240
cloud_median,local,250
cloud_median,local,245
cloud_median,local,268
cloud_median,local,254
cloud_median,local,251
cloud_fast,local,234
cloud_fast,local,224
cloud_fast,local,245
cloud_fast,local,264
cloud_fast,local,235
