2009-11-12,46,	288.81
2009-11-17,47,	286.58
2009-11-28,48,	288.0
2009-11-29,49,	292.34
2009-12-10,50,	299.36
2009-12-17,51,	294.0
2009-12-25,52,	295.61
CO,	1
1990-01-03,1,	177.6
1990-01-08,2,	178.6
1990-01-20,3,	176.8
1990-01-27,4,	178.36
1989-02-04,5,	177.7
1989-02-11,6,	179.2
1989-02-13,7,	182.04
1989-02-25,8,	180.83
1989-02-28,9,	182.0
1989-03-11,10,	180.25
1989-03-13,11,	182.7
1989-03-22,12,	182.78
1989-03-28,13,	183.08
1989-04-02,14,	183.0
1989-04-13,15,	184.89
1989-04-17,16,	184.53
1989-04-23,17,	186.48
1989-05-05,18,	184.73
1989-05-08,19,	182.45
1989-05-17,20,	186.9
1989-05-25,21,	183.51
1989-05-30,22,	182.6
1989-06-04,23,	179.49
1989-06-15,24,	179.0
1989-06-22,25,	180.28
1989-07-01,26,	181.0
1989-07-07,27,	181.22
1989-07-11,28,	179.33
1989-07-19,29,	179.56
1989-07-28,30,	179.81
1989-08-01,31,	185.79
1989-08-10,32,	181.76
1989-08-13,33,	182.22
1989-08-21,34,	182.0
1989-08-31,35,	180.75
1989-09-06,36,	181.45
1989-09-11,37,	181.35
1989-09-19,38,	181.5
1989-09-30,39,	182.16
1989-10-05,40,	184.6
1989-10-14,41,	183.0
1989-10-16,42,	181.5
1989-10-25,43,	182.7
1989-10-30,44,	180.34
1989-11-09,45,	178.62
1989-11-12,46,	178.84
1989-11-25,47,	176.64
1989-11-26,48,	178.62
1989-12-08,49,	176.77
1989-12-10,50,	177.65
1989-12-18,51,	178.3
1989-12-27,52,	180.98
CO,	1
1996-12-30,1,	206.65
1997-01-10,2,	203.75
1997-01-17,3,	205.02
1997-01-22,4,	211.2
1997-01-27,5,	205.02
1996-02-07,6,	195.44
1996-02-12,7,	196.08
1996-02-20,8,	196.25
1996-02-29,9,	193.23
1996-03-09,10,	193.2
1996-03-15,11,	193.84
1996-03-20,12,	194.58
1996-03-26,13,	195.51
1996-04-05,14,	196.87
1996-04-07,15,	194.97
1996-04-20,16,	196.05
1996-04-23,17,	194.74
1996-05-03,18,	196.54
1996-05-06,19,	195.7
1996-05-18,20,	195.6
1996-05-24,21,	195.04
1996-05-26,22,	195.84
1996-06-03,23,	197.12
1996-06-13,24,	196.35
1996-06-19,25,	198.14
1996-06-26,26,	197.45
1996-07-02,27,	198.08
1996-07-11,28,	200.43
1996-07-19,29,	200.48
1996-07-21,30,	198.72
1996-08-01,31,	199.96
1996-08-09,32,	203.0
1996-08-12,33,	199.88
1996-08-20,34,	200.7
1996-08-29,35,	200.7
1996-09-01,36,	200.9
1996-09-13,37,	203.0
1996-09-19,38,	201.3
1996-09-22,39,	201.62
1996-09-30,40,	203.94
1996-10-07,41,	199.2
1996-10-17,42,	198.28
1996-10-25,43,	195.36
1996-11-01,44,	201.84
1996-11-06,45,	198.66
1996-11-13,46,	200.04
1996-11-19,47,	200.03
1996-11-24,48,	202.83
1996-12-01,49,	202.52
1996-12-09,50,	202.95
1996-12-21,51,	204.24
1996-12-25,52,	203.84
CO,	1
2003-12-29,1,	250.71
2004-01-10,2,	251.0
2004-01-17,3,	247.68
2004-01-22,4,	254.94
2004-01-31,5,	256.1
2003-02-08,6,	245.68
2003-02-14,7,	246.05
2003-02-18,8,	244.36
2003-02-23,9,	246.39
2003-03-07,10,	242.06
2003-03-13,11,	245.96
2003-03-17,12,	250.56
2003-03-27,13,	250.12
2003-04-02,14,	253.45
2003-04-10,15,	251.1
2003-04-16,16,	250.6
2003-04-24,17,	249.64
2003-05-03,18,	248.97
2003-05-08,19,	247.86
2003-05-12,20,	248.43
2003-05-22,21,	247.42
2003-05-30,22,	249.4
2003-06-07,23,	245.68
2003-06-12,24,	247.02
